"series_episode","season_number"
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,2
15,2
16,2
17,2
18,2
19,2
20,2
21,2
22,2
23,2
24,2
25,2
26,2
27,3
28,3
29,3
30,3
31,3
32,3
33,3
34,3
35,3
36,3
37,3
38,3
39,3
40,4
41,4
42,4
43,4
44,4
45,4
46,4
47,4
48,4
49,4
50,4
51,4
52,4
53,5
54,5
55,5
56,5
57,5
58,5
59,5
60,5
61,5
62,5
63,5
64,5
65,5
66,6
67,6
68,6
69,6
70,6
71,6
72,6
73,6
74,6
75,6
76,6
77,6
78,7
79,7
80,7
81,7
82,7
83,7
84,7
85,7
86,7
87,7
88,8
89,8
90,8
91,8
92,8
93,8
94,8
95,8
96,8
97,9
98,9
99,9
100,9
101,9
102,9
103,9
104,9
105,9
106,9
107,9
108,9
109,9
110,10
111,10
112,10
113,10
114,10
115,10
116,10
117,10
118,10
119,10
120,10
121,10
122,10
123,11
124,11
125,11
126,11
127,11
128,11
129,11
130,11
131,11
132,11
133,11
134,11
135,11
136,12
137,12
138,12
139,12
140,12
141,12
142,12
143,12
144,12
145,12
146,12
147,12
148,12
149,13
150,13
151,13
152,13
153,13
154,13
155,13
156,13
157,13
158,13
159,13
160,13
161,14
162,14
163,14
164,14
165,14
166,14
167,14
168,14
169,14
170,14
171,14
172,14
173,14
174,15
175,15
176,15
177,15
178,15
179,15
180,15
181,15
182,15
183,15
184,15
185,15
186,15
187,16
188,16
189,16
190,16
191,16
192,16
193,16
194,16
195,16
196,16
197,16
198,16
199,16
200,17
201,17
202,17
203,17
204,17
205,17
206,17
207,17
208,17
209,17
210,17
211,17
212,17
213,18
214,18
215,18
216,18
217,18
218,18
219,18
220,18
221,18
222,18
223,18
224,18
225,18
226,19
227,19
228,19
229,19
230,19
231,19
232,19
233,19
234,19
235,19
236,19
237,19
238,19
239,20
240,20
241,20
242,20
243,20
244,20
245,20
246,20
247,20
248,20
249,20
250,20
251,20
252,21
253,21
254,21
255,21
256,21
257,21
258,21
259,21
260,21
261,21
262,21
263,21
264,21
265,22
266,22
267,22
268,22
269,22
270,22
271,22
272,22
273,22
274,22
275,22
276,22
277,22
278,23
279,23
280,23
281,23
282,23
283,23
284,23
285,23
286,23
287,23
288,23
289,23
290,23
291,24
292,24
293,24
294,24
295,24
296,24
297,24
298,24
299,24
300,24
301,24
302,24
303,24
304,25
305,25
306,25
307,25
308,25
309,25
310,25
311,25
312,25
313,25
314,25
315,25
316,25
317,26
318,26
319,26
320,26
321,26
322,26
323,26
324,26
325,27
326,27
327,27
328,27
329,27
330,27
331,27
332,27
333,27
334,27
335,27
336,27
337,27
338,28
339,28
340,28
341,28
342,28
343,28
344,28
345,28
346,28
347,28
348,28
349,28
350,28
351,29
352,29
353,29
354,29
355,29
356,29
357,29
358,29
359,29
360,29
361,29
362,29
363,29
364,30
365,30
366,30
367,30
368,30
369,30
370,30
371,30
372,31
373,31
374,31
375,31
376,31
377,31
378,31
379,31
380,31
381,31
382,31
383,31
384,31
385,31
386,31
387,31
388,31
389,31
390,31
391,31
392,32
393,32
394,32
395,32
396,32
397,32
398,32
399,32
400,32
401,32
402,32
403,32
404,33
405,33
406,33
407,33
408,33
409,33
410,33
411,33
412,34
413,34
414,34
415,34
416,34
417,34
418,34
419,34
420,34
421,34
422,34
423,34
424,34
425,35
426,35
427,35
428,35
429,35
430,35
431,35
432,35
433,35
434,35
435,35
436,35
437,35
438,35
439,35
440,35
441,35
442,35
443,35
444,35
445,36
446,36
447,36
448,36
449,36
450,36
451,36
452,36
453,36
454,36
455,36
456,36
457,36
458,37
459,37
460,37
461,37
462,37
463,37
464,37
465,37
466,37
467,37
468,37
469,37
470,37
471,38
472,38
473,38
474,38
475,38
476,38
477,38
478,38
479,38
480,38
481,38
482,38
483,38
484,39
485,39
486,39
487,39
488,39
489,39
490,39
491,39
492,39
493,39
494,39
495,39
496,39
497,40
498,40
499,40
500,40
501,40
502,40
503,40
504,40
505,40
506,40
507,40
508,40
509,40
510,41
511,41
512,41
513,41
514,41
515,41
516,41
517,41
518,41
519,41
520,41
521,41
522,41
523,42
524,42
525,42
526,42
527,42
528,42
529,42
530,42
531,43
532,43
533,43
534,43
535,43
536,43
537,43
538,43
539,43
540,43
541,43
542,43
543,43
544,44
545,44
546,44
547,44
548,44
549,44
550,44
551,44
552,44
553,44
554,44
555,44
556,45
557,45
558,45
559,45
560,45
561,45
562,45
563,45
564,45
565,45
566,45
567,45
568,45
