"series_episode","first_name","last_name","place"
1,"Summer","Kriegshauser",4
2,"Raymond","Jackson",4
3,"Margaritte","Malfy",4
4,"Sean","Chudoba",4
5,"John","Keller",4
6,"Cindi","Avila",4
7,"Melinda","Dorn",4
8,"Gwen","LePape",4
9,"David","Goldwhite",4
10,"Jonathan","Jernigan",4
11,"Alina","Eisenhauer",4
12,"Michael","Selicious",4
13,"Victor","Cabezas",4
14,"Peter","Klein",4
15,"Fritz","Knipschildt",4
16,"Nicole","Puzio",4
17,"Massimo","Felici",4
18,"Shaya","Klechevsky",4
19,"Barbara","Sibley",4
20,"Moha","Orchid",4
21,"Ming","Lu",4
22,"Simon","Lange",4
23,"Michael","Carrino",4
24,"Pippa","Calland",4
25,"Jackie","Lee",4
26,"Cody","Utzman",4
27,"Peter","Giannakas",4
28,"Jeffrey","Baruch",4
29,"Fabian","Ludwig",4
30,"Adele","DiBiase",4
31,"Melinda","Beaulieu",4
32,"Megan","Fells",4
33,"Bill","Feldman",4
34,"Michael","Giletto",4
35,"Linda","Laestadius",4
36,"Damien","Brassel",4
37,"Mark","Twersky",4
38,"Michael","Madigan",4
39,"John-Michael","Hamlet",4
40,"Siggy","Sollitto",4
41,"Sunshine","Best",4
42,"Rory","MacDonald",4
43,"Abigail","Hitchcock",4
44,"Sean","Mell",4
45,"Nadege","Fleurimond",4
46,"Mary","Johnson",4
47,"Melissa","Muller",4
48,"Anthony","Locastro",4
49,"Carrie","Weiss",4
50,"Melissa","Rebholz",4
51,"Steven","Tempel",4
52,"Jacques","Gautier",4
53,"Paul","Viggiano",4
54,"Adam","Idris",4
55,"Jessica","Wilson",4
56,"Jessica","Mogardo",4
57,"Michael","Jenkins",4
58,"Joe","Dobias",4
59,"Christian","Petroni",4
60,"Marc","Bynum",4
61,"Sung","Lee",4
62,"Anthony","Testino",4
63,"Mike","Solyn",4
64,"Harold","Moore",4
65,"Kenneth","Collins",4
66,"Colin","Kruzic",4
67,"Andrea","Glick",4
68,"Carmine","DiGiovanni",4
69,"Rob","Runn",4
70,"James","Kilberg",4
71,"Lisa","Garza",4
72,"Duff","Goldman",4
73,"Jacques","Torres",4
74,"Maneet","Chauhan",4
75,"Michael","Proietti",4
76,"Gillie","Holme",4
77,"Ulli","Stachl",4
78,"Crystal","Fox",4
79,"Billy","Brigtsen",4
80,"Rosalind","Balducci",4
81,"John","Ramirez",4
82,"Vucic","Dabetic",4
83,"Matthew","Marchese",4
84,"Amy","Goffio-Mahabir",4
85,"Emily","Sims",4
86,"Marc","Matsumoto",4
87,"Chris","Rendell",4
88,"Tristan","Welch",4
89,"Katherine","See",4
90,"Chris","Coombs",4
91,"Ben","Sargent",4
92,"Daniel","Moreno",4
93,"Denis","Weekes",4
94,"Rodney","Henry",4
95,"Allison","Sosna",4
96,"Bun","Lai",4
97,"Wayne","Lyons",4
98,"Shehu","Fitzgerald",4
99,"Miguel","Aguilar",4
100,"Justin","Burdett",4
101,"Alan","Harding",4
102,"Van","Dao",4
103,"Michael","Maroni",4
104,"Kayne","Raymond",4
105,"Tiffany","Jeffries",4
106,"Shawn","Fralin",4
107,"Rhonda","Deloach",4
108,"Jill","Nicolson",4
109,"Larry","Baldwin",4
110,"Joseph","Arcarola",4
111,"Dave","Ward",4
112,"David","Seigal",4
113,"Ian","Friedman",4
114,"Anna","Santorelli",4
115,"Marcus","Lepke",4
116,"Amy","Johnson",4
117,"Jose","Garces",4
118,"Keegan","Gerhard",4
119,"Chris","Nirschel",4
120,"Chris","Santos",4
121,"Michael","Symon",4
122,"Sean","Brasel",4
123,"Jeff","O'Neill",4
124,"Nancy","Caballes",4
125,"Angela","Karegeannes",4
126,"Ryan","McLaughlin",4
127,"Michael","Jacobs",4
128,"Robert","Painter",4
129,"John","Deatcher",4
130,"Nelly","Godfrey",4
131,"Prasad","Chirnomula",4
132,"Jessica","North",4
133,"Pete","Ascolese",4
134,"Evelyn","Cheatham",4
135,"Deborah","Gelman",4
136,"Jesse","Kramer",4
137,"Kerenza","Napoles",4
138,"Taryn","Mumpower",4
139,"Richard","Bond",4
140,"Kimberly","Parris",4
141,"Alex","Friedman",4
142,"Michael","Chen",4
143,"Monique","Barrow",4
144,"Bryon","Peck",4
145,"Jude","Huval",4
146,"Chuck","Subra",4
147,"Jennifer","Iserloh",4
148,"Cam","Boudreaux",4
149,"Sheridan","Su",4
150,"Terry","Accaira",4
151,"Romilly","Newman",4
152,"Terry","Koval",4
153,"Tony","Biggs",4
154,"Giancarlo","Autenzio",4
155,"Greg","Grossman",4
156,"Courtney","Renn",4
157,"April","Neujean",4
158,"Mike","Minor",4
159,"Marja","Samsom",4
160,"Adrian","Ashby",4
161,"Shawn","Smilie",4
162,"Lish","Steiling",4
163,"Rachel","Willen",4
164,"Lester","Walker",4
165,"Kris","Wessel",4
166,"Kenneth","Johnson",4
167,"Anne","Churchill",4
168,"Tony","Kang",4
169,"Nadia","G.",4
170,"Chuck","Hughes",4
171,"Marc","Murphy",4
172,"Judy","Gold",4
173,"Sunny","Anderson",4
174,"Ingrid","Wright",4
175,"John","Herndon",4
176,"McCaily","Cranna",4
177,"Ashley","Hough",4
178,"Gio","Bellino",4
179,"Nate","Echelberger",4
180,"Fred","Eric",4
181,"Victor","Vinson",4
182,"Elizabeth","Mwanda",4
183,"Christian","Dolias",4
184,"Ian","Kokkeler",4
185,"David","Garrido",4
186,"Michele","Harriott",4
187,"Vincent","Williams",4
188,"Raquel","Jubran",4
189,"Roy","Handler",4
190,"Jaquy","Yngvason",4
191,"Paul","Joseph",4
192,"Tyler","Bloch",4
193,"Regina","Chen",4
194,"Jemell","Simpson",4
195,"Chris","Houlihan",4
196,"Ben","Durham",4
197,"Kent","Rathbun",4
198,"John","Creger",4
199,"Nick","Vazquez",4
200,"Molly","Peck",4
201,"Tagan","Couch",4
202,"Tiki","Barber",4
203,"Wilhemina","Bell",4
204,"Josh","Watkins",4
205,"Brian","Tsao",4
206,"Shaquay","Peacock",4
207,"Neil","Fuentes",4
208,"Steve","Yen",4
209,"Philip","Meoli",4
210,"Frank","Whittaker",4
211,"Josh","Greenfield",4
212,"Antonio","Jr.",4
213,"Jonah","Frazier",4
214,"Roxy","Belfiore",4
215,"Andres","Figueroa",4
216,"Pip","Freeman",4
217,"Sal","DePaola",4
218,"Ashley","Fahr",4
219,"Sam","Nuckols",4
220,"Megan","Logan",4
221,"Pierre","Coray",4
222,"Noah","Blom",4
223,"Larry","Monaco",4
224,"Matt","Dunn",4
225,"Roderick","Bailey",4
226,"Soraya","Sobreidad",4
227,"Lauren","Pool",4
228,"Nancy","Judd",4
229,"Jackie","Joyner-Kersee",4
230,"Coolio","Coolio",4
231,"Tommy","Davidson",4
232,"Tasha","Smith",4
233,"Carnie","Wilson",4
234,"Melissa","Torre",4
235,"Samantha","McLerran",4
236,"David","Robinson",4
237,"Millie","Fernandez",4
238,"Ian-Max","Henriquez",4
239,"Rose","Kai",4
240,"Chris","Lukic",4
241,"Jason","Netro",4
242,"Iain","Falconer",4
243,"Ted","Hirsch",4
244,"Meg","Hall",4
245,"Emily","Frith",4
246,"Jessica","Helms",4
247,"Naved","Ferdinands",4
248,"Ashlee","Saylor",4
249,"Greg","Ling",4
250,"Licia","Kassim",4
251,"Sassan","Rostamian",4
252,"Alexandria","Brooks",4
253,"Mikayla","Layng",4
254,"Brandon","Medley",4
255,"Antonio","Jubela-Gordon",4
256,"Sequoia","Pranger",4
257,"Michael","Natiello",4
258,"Fatima","Ali",4
259,"Marisa","Biaggi",4
260,"Richard","Fields",4
261,"Gillian","Vigman",4
262,"Keith","Young",4
263,"Eitan","Bernath",4
264,"Jun","Robles",4
265,"Mark","Murray",4
266,"Maneet","Chauhan",4
267,"Mirna","Attar",4
268,"Sunny","Anderson",4
269,"Raphael","Martone",4
270,"Nico","Romo",4
271,"Kathy","Wakile",4
272,"Maria","Ojala",4
273,"Gregory","Generet",4
274,"Kamel","Saci",4
275,"Mei","Chau",4
276,"Jason","French",4
277,"Clio","Goodman",4
278,"Leigh","Kato",4
279,"Victoria","Neikirk",4
280,"Angela","Majko",4
281,"Dung","Trinh",4
282,"Kelly","Kleisner",4
283,"Kimberly","Maisey",4
284,"Fred","Neuville",4
285,"Rique","Uresti",4
286,"Mark","Mata",4
287,"Lauren","Miller",4
288,"Ariella","Dalfen",4
289,"Amanda","Freitag",4
290,"Jimi","Hyatt",4
291,"Brian","Malarkey",4
292,"Dale","Talde",4
293,"Marcel","Vigneron",4
294,"Lee","Wong",4
295,"Art","Smith",4
296,"Robert","Sevchik",4
297,"Eddie","Ojeda",4
298,"Kris","Edelen",4
299,"Varsha","Govindaraju",4
300,"Justin","Schwartz",4
301,"Erin","Wishon",4
302,"Will","Salazar",4
303,"Kelsey","Nixon",4
304,"Franco","Fugel",4
305,"Alyssa","Chacon",4
306,"Jarren","Pross",4
307,"Danny","Ganzman",4
308,"Erica","Nicholls",4
309,"Peter","Wenger",4
310,"Morgan","Goldstein",4
311,"Jo","Payton",4
312,"Katie","Wentworth",4
313,"Ivan","Giani",4
314,"Gretchen","Roth",4
315,"Laura","Cheng",4
316,"Matt","Jozwiak",4
317,"Jeny","Weimer",4
318,"Din","Yates",4
319,"Franky","Karagiorgos",4
320,"Ellen","Adams",4
321,"Sarah","Mispagel",4
322,"Ada","Santa",4
323,"Ryan","Profetto",4
324,"Artie","Wachtel",4
325,"Gary","Ly",4
326,"Aviv","Regev",4
327,"Nick","Williams",4
328,"Justin","Herrera",4
329,"Kirk","Bronsord",4
330,"Nick","Lisotto",4
331,"Mark","Bailey",4
332,"Gilbert","Delgado",4
333,"Keisha","Bocage",4
334,"Jake","Harbeck",4
335,"Haley","Sausner",4
336,"Danielle","Wilk",4
337,"Sean","Carroll",4
338,"Stacey","Givens",4
339,"Georgeann","Leaming",4
340,"Raffaele","Ronca",4
341,"Silvia","Baldini",4
342,"Meny","Vaknin",4
343,"Artist","Thornton",4
344,"Crystal","Wahpepah",4
345,"Peter","Sally",4
346,"Dean","Barker",4
347,"John","Beatty",4
348,"Lenny","Messina",4
349,"Mariko","Wilkinson",4
350,"Justin","Matro",4
351,"Jayson","Reynolds",4
352,"William","Gilchriest",4
353,"Cameron","Cain",4
354,"Donato","Deserio",4
355,"Jim","Angelus",4
356,"Nicholas","Capone",4
357,"Nathan","Spiro",4
358,"Brittany","Matteson",4
359,"Tammy","Lyssie",4
360,"Jeffrey","Heilman",4
361,"Surbhi","Sahni",4
362,"Gabriel","Chirinos",4
363,"Amber","Brauner",4
364,"Enzo","Neri",4
365,"Joey","Malim",4
366,"Ebony","Amber",4
367,"Thomas","Brenner",4
368,"Ameer","Atari",4
369,"Amber","Keyser",4
370,"Les","Gold",4
371,"Javani","King",4
372,"Sylvia","Becker",4
373,"Ali","Muhammad",4
374,"Mackenzie","Hilton",4
375,"Alexa","Wilkinson",4
376,"Shania","Thomas",4
377,"Josh","Hershkovitz",4
378,"Mike","Romine",4
379,"Sage","Beausejour",4
380,"Kathy","Fang",4
381,"Jay","Fox",4
382,"Jared","Falco",4
383,"Peter","Freeman",4
384,"Erick","Dally",4
385,"Christopher","Newark",4
386,"Elena","Cruz",4
387,"Paddy","Rawal",4
388,"Marjory","Sweet",4
389,"Faiz","Ally",4
390,"Lien","Lin",4
391,"Michele","Wright",4
392,"Elisa","Lyew",4
393,"Russell","Stippich",4
