series_episode,episode_name,air_date
53,Dream'n of Redeem'n,7/20/2010 0:00
560,$50 000 Champs Challenge: Grand Finale,2/18/2020 0:00
556,$50 000 Champs Challenge: Part 1,1/21/2020 0:00
557,$50 000 Champs Challenge: Part 2,1/28/2020 0:00
558,$50 000 Champs Challenge: Part 3,2/4/2020 0:00
559,$50 000 Champs Challenge: Part 4,2/11/2020 0:00
60,$50 000 Tournament: Grand Finale,9/28/2010 0:00
59,$50 000 Tournament: Round Four,9/21/2010 0:00
56,$50 000 Tournament: Round One,8/31/2010 0:00
58,$50 000 Tournament: Round Three,9/14/2010 0:00
57,$50 000 Tournament: Round Two,9/7/2010 0:00
146,A Bunny Thing Happened,9/11/2012 0:00
317,A Chopped Halloween,10/6/2015 0:00
199,A Chopped Thanksgiving,11/12/2013 0:00
76,A Cornish Mess,4/10/2011 0:00
460,A Frog Leg Up,4/17/2018 0:00
137,A Guts Reaction,6/12/2012 0:00
93,A is for Apple. U is for Udon,8/16/2011 0:00
30,A Nori Story,11/3/2009 0:00
554,A Pretty Pickle Pizza,3/10/2020 0:00
14,A Prickly Situation,6/14/2009 0:00
535,A Very Brady Chopped,8/27/2019 0:00
133,A Very Piggy Halloween,10/16/2012 0:00
21,A Wish Upon A Starfruit,8/11/2009 0:00
38,Against the Tide,4/19/2010 0:00
295,All Stars Tournament: Grand Finale,5/26/2015 0:00
291,All Stars Tournament: Part 1,4/28/2015 0:00
292,All Stars Tournament: Part 2,5/5/2015 0:00
293,All Stars Tournament: Part 3,5/12/2015 0:00
294,All Stars Tournament: Part 4,5/19/2015 0:00
140,All-American Competition,7/3/2012 0:00
220,All-Burger Meal!,2/9/2014 0:00
75,All-Stars Tournament: Grand Finale,4/3/2011 0:00
74,All-Stars Tournament: Round Four - Chopped Judges,3/27/2011 0:00
71,All-Stars Tournament: Round One - Competitors  The Next Food Network Star,3/6/2011 0:00
73,All-Stars Tournament: Round Three - Notable Chefs,3/20/2011 0:00
72,All-Stars Tournament: Round Two - Food Network Personalities,3/13/2011 0:00
119,All-Stars: Food Network Star Contestants,4/22/2012 0:00
121,All-Stars: Grand Finale,5/6/2012 0:00
117,All-Stars: Iron Chefs Do Battle,4/8/2012 0:00
120,All-Stars: Judge Remix,4/29/2012 0:00
118,All-Stars: Prime Time vs. Day Time,4/15/2012 0:00
424,Alton's Challenge  Grand Finale,11/7/2017 0:00
420,Alton's Challenge  Part 1,10/10/2017 0:00
421,Alton's Challenge  Part 2,10/17/2017 0:00
422,Alton's Challenge  Part 3,10/24/2017 0:00
423,Alton's Challenge  Part 4,10/31/2017 0:00
285,Amateurs Redemption,3/17/2015 0:00
273,Amateurs' Brawl,4/7/2015 0:00
179,Amazing Amateurs,5/14/2013 0:00
226,Ambitious Amateurs,2/4/2014 0:00
442,Amped for Ramps,12/26/2017 0:00
225,An Egg Up,5/13/2014 0:00
436,An Iron Chef Thanksgiving,11/14/2017 0:00
411,An Ugly Turn,5/30/2017 0:00
176,Aussie Awesome,4/16/2013 0:00
3,Avocado  Tahini  Bran Flakes,1/27/2009 0:00
527,B.L.D: Breakfast  Lunch  and Dinner!,1/28/2020 0:00
383,Back in Time,11/24/2016 0:00
513,Bacon  Burgers and Beer!,5/21/2019 0:00
222,Bacon Baskets!,2/16/2014 0:00
330,Bacon Boys,2/7/2016 0:00
4,Banana  Collard Greens  Grits,2/3/2009 0:00
418,Bangin' Backyard Cookout,7/4/2017 0:00
477,Bar Fight,1/1/2019 0:00
390,Basket Buzz,12/27/2016 0:00
