course_ID,ingredient_name
0,baby octopus
0,bok choy
0,oyster sauce
0,smoked paprika
1,duck breast
1,green onions
1,ginger
1,honey
2,prunes
2,animal crackers
2,cream cheese
3,firm tofu
3,tomato paste
3,prosciutto
4,daikon
4,pork loin
4,napa cabbage
4,thai chiles
4,blue point oysters
5,phyllo dough
5,gorgonzola cheese
5,pineapple rings
5,blueberries
6,lump crab meat
6,dried shiitake mushrooms
6,pink grapefruit
6,bran cereal
7,ground beef
7,cannellini beans
7,tahini paste
7,grape jelly
8,brioche
8,cantaloupe
8,pecans
8,avocados
9,ground beef
9,wonton wrappers
9,cream of mushroom soup
9,bananas
10,scallops
10,collard greens
10,anchovies
10,sour cream
11,maple syrup
11,black plums
11,almond butter
11,walnuts
11,quick grits
12,watermelon
12,canned sardines
12,pepper jack cheese
12,zucchini
13,beef shoulder
13,yucca
13,raisins
13,ancho chiles
13,dill pickles
14,flour tortillas
14,prosecco
14,canadian bacon
14,roasted chestnuts
15,asparagus
15,chorizo
15,button mushrooms
15,canned peaches
16,rice cakes
16,chicken thighs
16,plantains
16,fruit punch
16,cocktail onions
17,beets
17,goat cheese
17,quick cook oatmeal
17,crystallized ginger
18,endive
18,frozen peas
18,quail
18,red seedless grapes
19,watercress
19,tamarind paste
19,creamed corn
19,arctic char
20,pitted dates
20,frozen pie crust
20,caramel candy
20,stout beer
21,turbot
21,nori sheets
21,pistachios
21,coconut
22,rainbow chard
22,papaya
22,granola
22,parsnips
22,calamari
23,plain donuts
23,smoked gouda
23,white chocolate
23,dried apricots
24,boxed macaroni and cheese
24,artichokes
24,tilapia
25,eggplant
25,ground pork
25,poblano chiles
25,avocados
25,cola
26,oranges
26,grapefruit
26,semi-sweet chocolate chips
26,bacon
27,chicken wings
27,soba noodles
27,celery
27,string cheese
28,striped bass
28,pimento peppers
28,jicama
28,mangoes
28,brie cheese
29,ginger snaps
29,creme fraiche
29,instant coffee
29,carrots
30,peanut butter
30,granny smith apples
30,jumbo shrimp
31,kielbasa
31,pepperoncini
31,fingerling potatoes
31,tarragon
32,marshmallow spread
32,chocolate puff cereal
32,semi-sweet chocolate chips
32,dried strawberries
33,beef tenderloin
33,cucumber
33,asian pears
33,bittersweet chocolate
34,mussels
34,canned tomatoes
34,pita bread
34,celery root
35,black mission figs
35,slivered almonds
35,lemons
36,salmon
36,radicchio
36,ginger
36,strawberries
37,turkey breast
37,baby turnips
37,pearl onions
37,coconut flakes
38,blackberries
38,kiwi
38,wonton wrappers
38,gummy bears
39,brioche
39,fennel
39,sea urchin
40,blackstrap molasses
40,red snapper
40,parsley root
40,dried cranberries
41,bulgur wheat
41,pomegranate juice
41,pineapple
41,green papaya
42,sea beans
42,ginger ale
42,pork tenderloin
43,baby artichokes
43,cashew butter
43,monkfish
43,thai chiles
44,jicama
44,pepitas
44,blueberries
45,calamari
45,brussels sprouts
45,asian pears
46,bison
46,dried mango
46,leeks
46,belgian-style ale
47,ancho chiles
47,semi-sweet chocolate
47,black plums
48,beef shoulder
48,fish sauce
48,canned pumpkin
49,flounder
49,yellow plantains
49,baby bok choy
49,mini watermelon
50,tomatillos
50,creme fraiche
50,plain donuts
51,duck breast
51,polenta
51,sharon fruit
52,rainbow trout
52,baby turnips
52,tamarind concentrate
52,serrano ham
53,sliced almonds
53,okinawan sweet potatoes
53,brioche
53,sambuca
54,ground turkey
54,piquillo peppers
54,gooseberries
55,top round of lamb
55,coconut flakes
55,snap peas
55,quick grits
56,celery
56,blood oranges
56,frozen pie crust
56,jaggery
57,jumbo shrimp
57,edamame
57,golden raisins
58,flank steak
58,grape juice
58,goat cheese
58,lemongrass
59,coffee liqueur
59,avocados
59,boiled ginkgo nuts
59,honeycomb
60,red currant jam
60,merguez sausage
60,broccoli
61,chicken breast
61,dandelion greens
61,starfruit
61,cherry liqueur
62,grape leaves
62,sesame seeds
62,honeydew melon
62,pickled ginger
63,olive oil packed tuna
63,english cucumbers
63,buckwheat flour
64,knockwurst
64,pretzels
64,ramps
64,mangosteen
65,biscuit dough
65,pistachios
65,dried hibiscus flowers
65,black olives
66,crayfish
66,red seedless grapes
66,fiddlehead ferns
67,quail
67,guava nectar
67,udon noodles
67,dinosaur kale
68,baby kiwi
68,israeli couscous
68,rice paper
68,saffron
69,cockles
69,kohlrabi
69,pita bread
70,ground chicken
70,green tea leaves
70,mustard oil
70,braeburn apples
71,chocolate wafers
71,manchego cheese
71,passionfruit
71,goji berries
72,lavash bread
72,preserved lemons
72,squab
73,bluefish
73,papaya
73,ginger snaps
73,beef jerky
74,butter crackers
74,grapefruit
74,feta cheese
74,gin
75,lobster
75,bananas
75,endive
76,pork loin
76,watercress
76,galia melon
76,taro root
77,matzo
77,pomegranate molasses
77,roasted chestnuts
77,baby fennel
78,manila clams
78,kumquats
78,croissants
79,ground pork
79,camembert
79,sweet vermouth
79,haricots verts
80,carrots
80,goat cheese
80,quick grits
80,pomelo
81,peas
81,peaches
81,eel
82,shrimp
82,oatmeal
82,butternut squash
82,umeboshi
83,parsnips
83,limoncello
83,soda crackers
83,sharp cheddar cheese
84,hamachi
84,quail eggs
84,dried cherries
85,beef tenderloin
85,mango
85,gruyere cheese
85,kochujang
86,ripened plantains
86,prosecco
86,crystallized ginger
86,bacon
87,beef tenderloin
87,nori
87,maple syrup
88,broccoli rabe
88,crystallized ginger
88,five year aged gouda
88,mahi-mahi
89,cherries
89,pumpernickel bread
89,curry powder
89,yuzu juice
90,turkey breast
90,kirby cucumbers
90,graham crackers
91,black cod
91,puffed rice cereal
91,pineapple
91,chorizo
92,mangoes
92,puff pastry
92,coffee beans
92,rose water
93,venison tenderloin
93,quince
93,eggnog
94,kale
94,rutabaga
94,marshmallows
94,turkey
95,garnet yams
95,brie
95,sparkling wine
95,cranberries
96,chicken breast
96,kiwi
96,zucchini blossoms
97,scallops
97,cranberry juice
97,artichokes
97,burdock root
98,blackberries
98,apple cider
98,shredded phyllo dough
98,fresh chickpeas
99,littleneck clams
99,yukon gold potatoes
99,rhubarb
100,striped bass
100,corn tortillas
100,applesauce
100,okra
101,carrot juice
101,white chocolate chips
101,baby beets
101,hominy
102,sake
102,green seedless grapes
102,chicken wings
103,horseradish
103,catfish
103,treviso
103,japanese eggplant
104,cherry tomatoes
104,silken tofu
104,ginger snaps
104,cocoa nibs
105,red cherry peppers
105,mortadella
105,soft shell crabs
106,baby bananas
106,black-eyed peas
106,poblano chiles
106,ostrich steak
107,lychees
107,phyllo dough
107,canadian bacon
107,candy canes
108,apricots
108,macadamia nuts
108,oysters
109,cucumber
109,buttermilk
109,pork loin
109,canned jackfruit
110,sugar cookie dough
110,bittersweet chocolate
110,figs
110,yellow miso paste
111,habanero chiles
111,bittersweet chocolate
111,fresh sardines
112,strawberries
112,celery root
112,lamb loin chops
112,swiss cheese
113,corn tortillas
113,dried chipotle peppers
113,blueberries
113,violet mustard
114,raspberries
114,asparagus
114,chicken livers
115,arugula
115,pickled daikon
115,fresh pasta
115,mackerel
116,greek yogurt
116,sugar cane
116,cactus pears
116,popcorn kernels
117,asian pears
117,croissants
117,haricots verts
117,rattlesnake meat
118,tapioca pearls
118,carrots
118,fruit leather
118,rabbit
119,yucca
119,calimyrna figs
119,hoisin sauce
119,red jalapenos
120,bourbon whiskey
120,anchovies
120,dates
120,frog legs
121,hamachi
121,beets
121,tortilla chips
121,malta
122,clementine oranges
122,scotch whiskey
122,basil
122,toasted oats cereal
123,ground turkey
123,black garlic
123,raspberries
123,pickled watermelon rind
124,fresh horseradish
124,goat chops
124,oatmeal
124,snap peas
125,canned peaches
125,cherry tomatoes
125,pretzel sticks
125,emu eggs
126,collard greens
126,jumbo shrimp
126,corn chips
126,olive loaf
127,broccoli rabe
127,deckle of beef
127,hibiscus flowers in syrup
127,black-eyed peas
128,avocadoes
128,oyster sauce
128,tofu skins
128,star fruit
129,mussels
129,asparagus
129,cactus pear
129,kidney beans
130,sharp cheddar cheese
130,watermelon radish
130,squab
130,frozen waffles
131,saltine crackers
131,green papaya
131,dried mangoes
131,cotton candy
132,gooseberries
132,darjeeling tea
132,ricotta salata
132,calf's liver
