"place_of_work","city","state"
"","",""
"'A New Yorican Thing'","Long Island","NY"
"'Hard Times Sundaes'","New York","NY"
"'Los Viajeros'","New York","NY"
"'The Drunken Rooster'","Detroit","MI"
"""FayeFood"""" food blog""","New York","NY"
"@ Large Catering and Private Chef Services","Austin","TX"
"101 Coffee Shop","Dominick's","Little Dom's"
"1500 Degrees","Miami Beach","FL"
"158 Cafe","South Portland","ME"
"1789 Restaurant","Washington","DC"
"202","New York","NY"
"36 Main","New Paltz","NY"
"660 at the Angler's","Miami Beach","FL"
"793 Juniper","Atlanta","GA"
"A Fork Full of Earth Organic Catering","Fairfax","CA"
"A Table For Two Private Chef Service","Chicago","IL"
"A Voce Columbus","New York","NY"
"Abe and Arthur's","New York","NY"
"Adara","Montclair","NJ"
"Ado Ristorante","Venice Beach","CA"
"advances to final round","",""
"AFrame","Los Angeles","CA"
"Allison Eighteen","New York","NY"
"Almos Restaurant","New York","NY"
"Amy Kate Catering","New York","NY"
"Andaz","West Hollywood","CA"
"Anella/Jimmy's/Jimmy's Diner","Brooklyn","NY"
"Anna Maria's","Larchmont","NY"
"Antojeria La Popular","New York","NY"
"Apartment 138","Brooklyn","NY"
"Aquavit","New York","NY"
"Arc Food & Libations","Costa Mesa","CA"
"Arcane","New York","NY"
"Arlington","TX","Texas Rangers"
"Arte Cafe","New York","NY"
"Arthur Avenue Trattoria and Mike's Deli","New York","NY"
"Artisanal","New York","NY"
"Ashton Keefe Culinary Lifestyle Services","New York","NY"
"At Your Palate","New York","NY"
"ATC Spice Blends","Brooklyn","NY"
"Atria","New York","NY"
"Auntie Em's Kitchen","Eagle Rock","CA"
"Auria's Malaysian Kitchen","Brooklyn","NY"
"Aussie Chef Catering","Sherman Oaks","CA"
"Avenue Bistro Pub","Verona","NJ"
"Avenue Inc","New York","NY"
"Avery/Parsons Elementary School","Buena Vista","CO"
"Ayza Wine & Chocolate Bar","New York","NY"
"Ayza Wine Bar","New York","NY"
"AZ","Santa Monica","CA"
"Bacio","Tropicana Las Vegas Hotel and Resort","Las Vegas"
"Back Forty","New York","NY"
"Bakers' Best Catering","Boston","MA"
"Baltimore","MD","Baltimore Orioles"
"Banquets Department at the Cosmopolitan","Las Vegas","NV"
"Bar and Bistro","Las Vegas","NV"
"Bar Blanc","New York","NY"
"Bar Boulud","New York","NY"
"Barcelona","Greenwich","CT"
"BarOnA","New York","NY"
"Barsa Tapas Lounge","Charleston","SC"
"Baton Rouge","LA","chopped 2nd in dessert*"
"Battery Gardens","New York","NY"
"Bayou Bakery","Arlington","VA"
"Beachwood Cafe","Hollywood","CA"
"Bear","New York","NY"
"Beast","Brooklyn","NY"
"Bezalel Gables","Hudson Valley","NY"
"Biagio's Osteria","Stratford","CT/ Engine 63"
"Big Daddy's Diner","Duke's","and City Crab"
"Big Little Get Together","New York","NY"
"Biscuit Bender","San Francisco","CA"
"Bistro 44","Toms River","NJ"
"BLD Restaurant","Los Angeles","CA"
"Bleeding Heart Bakery","Chicago","IL"
"Blind Barber","Culver City","CA"
"Bloomingdale Road and Wine Directory","New York","NY"
"BLT Prime","New York","NY"
"BLT Steak","New York","NY"
"Bocadillos","Albuquerque","NM"
"Bocca Fina","Queens","NY"
"Bona Vita Osteria","Summit","NJ"
"BOOM","New York","NY"
"Border Grill","Santa Monica","CA"
"Border Grill at Mandalay Bay","Las Vegas","NV"
"Boston","MA","Episode 37.8 - ""Under the Cuban Sun"""""""
