"season_number","no_episodes","start_date"
1,13,"2009-01-13 00:00:00"
2,13,"2009-06-14 00:00:00"
3,13,"2009-10-13 00:00:00"
4,13,"2010-04-06 00:00:00"
5,13,"2010-07-20 00:00:00"
6,12,"2011-01-04 00:00:00"
7,10,"2011-05-03 00:00:00"
8,9,"2011-07-12 00:00:00"
9,13,"2011-08-30 00:00:00"
10,13,"2011-12-20 00:00:00"
11,13,"2012-02-07 00:00:00"
12,13,"2012-06-05 00:00:00"
13,12,"2012-09-04 00:00:00"
14,13,"2013-01-06 00:00:00"
15,13,"2013-04-02 00:00:00"
16,13,"2013-06-02 00:00:00"
17,13,"2013-08-13 00:00:00"
18,13,"2013-11-26 00:00:00"
19,13,"2014-02-04 00:00:00"
20,13,"2014-03-18 00:00:00"
21,13,"2014-07-15 00:00:00"
22,13,"2014-10-14 00:00:00"
23,13,"2014-12-16 00:00:00"
24,13,"2015-04-28 00:00:00"
25,13,"2015-08-25 00:00:00"
26,8,"2015-10-06 00:00:00"
27,13,"2016-01-05 00:00:00"
28,13,"2016-03-29 00:00:00"
29,13,"2016-08-07 00:00:00"
30,8,"2016-09-22 00:00:00"
31,20,"2016-10-13 00:00:00"
32,12,"2017-01-03 00:00:00"
33,8,"2017-03-21 00:00:00"
34,13,"2017-05-09 00:00:00"
35,20,"2017-07-18 00:00:00"
36,13,"2017-12-12 00:00:00"
37,13,"2018-03-13 00:00:00"
38,13,"2018-05-15 00:00:00"
39,13,"2018-06-26 00:00:00"
40,13,"2018-07-17 00:00:00"
41,13,"2018-12-11 00:00:00"
42,8,"2018-11-20 00:00:00"
43,13,"2019-07-09 00:00:00"
44,12,"2019-09-24 00:00:00"
45,13,"2020-01-21 00:00:00"
